User ID,Gender,Exercise Name,Difficulty Level,Total Reps,Total Time (s),Overall Performance
1,Female,Neck Rotation,Easy,15,241.2,Average
1,Female,Chin Tucks,Medium,11,270.28,Bad
1,Female,Shoulder Shrugs,Medium,23,214.68,Average
1,Female,Neck Side Stretch,Easy,16,65.5,Bad
1,Female,Neck Flexion,Easy,32,79.75,Bad
1,Female,Neck Extension,Easy,5,180.18,Bad
1,Female,Neck Isometrics,Medium,37,123.08,Average
1,Female,Neck Side Bend,Medium,32,261.55,Good
1,Female,Seated Head Turns,Medium,45,62.08,Bad
2,Female,Neck Rotation,Easy,27,130.9,Average
2,Female,Chin Tucks,Medium,37,266.45,Good
2,Female,Shoulder Shrugs,Medium,49,79.61,Bad
2,Female,Neck Side Stretch,Easy,13,93.73,Bad
2,Female,Neck Flexion,Easy,48,147.75,Average
2,Female,Neck Extension,Easy,49,209.29,Good
2,Female,Neck Isometrics,Medium,20,63.8,Bad
2,Female,Neck Side Bend,Medium,29,192.02,Average
2,Female,Seated Head Turns,Medium,18,57.59,Bad
3,Male,Neck Rotation,Easy,6,77.35,Bad
3,Male,Chin Tucks,Medium,8,265.71,Bad
3,Male,Shoulder Shrugs,Medium,50,241.94,Good
3,Male,Neck Side Stretch,Easy,16,267.0,Average
3,Male,Neck Flexion,Easy,18,133.44,Average
3,Male,Neck Extension,Easy,45,172.79,Average
3,Male,Neck Isometrics,Medium,34,233.37,Good
3,Male,Neck Side Bend,Medium,14,87.67,Bad
3,Male,Seated Head Turns,Medium,19,106.27,Average
4,Non-binary,Neck Rotation,Easy,38,145.13,Average
4,Non-binary,Chin Tucks,Medium,15,62.88,Bad
4,Non-binary,Shoulder Shrugs,Medium,11,178.03,Bad
4,Non-binary,Neck Side Stretch,Easy,44,54.73,Bad
4,Non-binary,Neck Flexion,Easy,50,273.48,Good
4,Non-binary,Neck Extension,Easy,37,199.14,Good
4,Non-binary,Neck Isometrics,Medium,29,210.19,Average
4,Non-binary,Neck Side Bend,Medium,20,99.99,Average
4,Non-binary,Seated Head Turns,Medium,8,164.74,Bad
5,Male,Neck Rotation,Easy,49,195.76,Good
5,Male,Chin Tucks,Medium,25,299.47,Average
5,Male,Shoulder Shrugs,Medium,13,110.44,Bad
5,Male,Neck Side Stretch,Easy,13,71.11,Bad
5,Male,Neck Flexion,Easy,19,72.97,Bad
5,Male,Neck Extension,Easy,11,199.79,Bad
5,Male,Neck Isometrics,Medium,26,147.66,Average
5,Male,Neck Side Bend,Medium,33,154.67,Average
5,Male,Seated Head Turns,Medium,13,254.64,Bad
6,Female,Neck Rotation,Easy,32,246.71,Good
6,Female,Chin Tucks,Medium,16,233.2,Average
6,Female,Shoulder Shrugs,Medium,26,53.89,Bad
6,Female,Neck Side Stretch,Easy,29,175.16,Average
6,Female,Neck Flexion,Easy,31,281.99,Good
6,Female,Neck Extension,Easy,9,146.52,Bad
6,Female,Neck Isometrics,Medium,14,259.61,Bad
6,Female,Neck Side Bend,Medium,7,77.34,Bad
6,Female,Seated Head Turns,Medium,33,225.2,Good
7,Female,Neck Rotation,Easy,38,253.13,Good
7,Female,Chin Tucks,Medium,33,254.04,Good
7,Female,Shoulder Shrugs,Medium,45,190.35,Good
7,Female,Neck Side Stretch,Easy,49,148.69,Average
7,Female,Neck Flexion,Easy,24,76.54,Bad
7,Female,Neck Extension,Easy,46,122.9,Average
7,Female,Neck Isometrics,Medium,29,177.48,Average
7,Female,Neck Side Bend,Medium,23,257.3,Average
7,Female,Seated Head Turns,Medium,20,285.48,Average
8,Female,Neck Rotation,Easy,11,46.76,Bad
8,Female,Chin Tucks,Medium,49,113.63,Average
8,Female,Shoulder Shrugs,Medium,47,205.9,Good
8,Female,Neck Side Stretch,Easy,9,291.79,Bad
8,Female,Neck Flexion,Easy,10,249.78,Bad
8,Female,Neck Extension,Easy,6,244.76,Bad
8,Female,Neck Isometrics,Medium,16,256.23,Average
8,Female,Neck Side Bend,Medium,13,248.99,Bad
8,Female,Seated Head Turns,Medium,45,89.9,Bad
9,Male,Neck Rotation,Easy,27,201.21,Average
9,Male,Chin Tucks,Medium,15,187.44,Average
9,Male,Shoulder Shrugs,Medium,30,196.32,Good
9,Male,Neck Side Stretch,Easy,35,38.9,Bad
9,Male,Neck Flexion,Easy,5,256.4,Bad
9,Male,Neck Extension,Easy,48,119.01,Average
9,Male,Neck Isometrics,Medium,32,104.51,Average
9,Male,Neck Side Bend,Medium,9,285.44,Bad
9,Male,Seated Head Turns,Medium,17,173.57,Average
10,Female,Neck Rotation,Easy,30,50.63,Bad
10,Female,Chin Tucks,Medium,17,82.37,Bad
10,Female,Shoulder Shrugs,Medium,15,286.35,Average
10,Female,Neck Side Stretch,Easy,29,175.3,Average
10,Female,Neck Flexion,Easy,50,198.34,Good
10,Female,Neck Extension,Easy,21,190.83,Average
10,Female,Neck Isometrics,Medium,29,298.58,Average
10,Female,Neck Side Bend,Medium,46,148.34,Average
10,Female,Seated Head Turns,Medium,35,205.32,Good
11,Non-binary,Neck Rotation,Easy,40,267.78,Good
11,Non-binary,Chin Tucks,Medium,49,278.42,Good
11,Non-binary,Shoulder Shrugs,Medium,38,131.59,Average
11,Non-binary,Neck Side Stretch,Easy,37,97.28,Average
11,Non-binary,Neck Flexion,Easy,22,284.16,Average
11,Non-binary,Neck Extension,Easy,40,46.57,Bad
11,Non-binary,Neck Isometrics,Medium,32,64.18,Bad
11,Non-binary,Neck Side Bend,Medium,24,270.6,Average
11,Non-binary,Seated Head Turns,Medium,38,38.03,Bad
12,Non-binary,Neck Rotation,Easy,31,299.36,Good
12,Non-binary,Chin Tucks,Medium,34,147.65,Average
12,Non-binary,Shoulder Shrugs,Medium,18,88.42,Bad
12,Non-binary,Neck Side Stretch,Easy,20,214.93,Average
12,Non-binary,Neck Flexion,Easy,24,118.97,Average
12,Non-binary,Neck Extension,Easy,22,100.2,Average
12,Non-binary,Neck Isometrics,Medium,5,94.58,Bad
12,Non-binary,Neck Side Bend,Medium,8,144.53,Bad
12,Non-binary,Seated Head Turns,Medium,18,147.91,Average
13,Male,Neck Rotation,Easy,48,95.17,Average
13,Male,Chin Tucks,Medium,29,216.01,Average
13,Male,Shoulder Shrugs,Medium,46,123.75,Average
13,Male,Neck Side Stretch,Easy,41,238.04,Good
13,Male,Neck Flexion,Easy,29,221.98,Average
13,Male,Neck Extension,Easy,37,50.5,Bad
13,Male,Neck Isometrics,Medium,6,193.61,Bad
13,Male,Neck Side Bend,Medium,43,196.22,Good
13,Male,Seated Head Turns,Medium,9,77.39,Bad
14,Female,Neck Rotation,Easy,10,271.48,Bad
14,Female,Chin Tucks,Medium,46,54.84,Bad
14,Female,Shoulder Shrugs,Medium,38,264.05,Good
14,Female,Neck Side Stretch,Easy,23,115.64,Average
